MJD,m,dm,F,source_name,RA,DEC
57985.29865,21.216,11.758,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57987.279395,21.324,1.415,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57987.297195,20.462,2.194,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57988.249693,23.673,6.1,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57988.262104,22.481,2.111,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57989.289518,20.988,5.797,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57990.242725,21.454,2.636,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57995.320628,20.871,1.075,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57995.328364,20.164,0.554,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57999.304235,19.817,2.364,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57999.31237,20.375,1.321,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57999.328825,20.718,2.514,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58003.277644,26.374,214.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58003.279602,21.529,2.487,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58023.288917,20.442,1.087,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58045.221623,19.906,3.534,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58117.614928,19.953,0.809,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58117.630584,20.036,4.5,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58117.638759,20.832,10.179,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58149.54541,20.906,44.855,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58149.552305,19.697,7.178,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58149.558748,20.779,33.289,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58149.565517,20.325,3.661,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58179.48665,19.443,1.348,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58179.493448,19.973,1.508,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58179.500736,20.369,1.891,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58179.507506,19.6,0.747,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58181.662468,17.584,1.042,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58183.638565,20.285,0.572,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58183.651,19.3,0.317,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58183.652374,19.6,0.447,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58183.663143,20.141,1.138,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58183.664853,19.1,0.692,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58185.629031,19.238,5.099,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58185.644029,17.983,0.578,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58205.61099,21.287,27.727,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58205.623164,19.623,7.492,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58205.635558,20.036,0.564,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58205.648126,20.001,1.709,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58207.502078,21.158,1.571,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58207.511694,19.085,0.226,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58207.512662,20.954,1.343,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58207.513118,23.076,10.526,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58213.579358,21.17,2.627,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58213.589338,19.538,0.5,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58213.591213,19.801,0.524,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58213.608139,21.363,2.295,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58221.571036,20.753,1.753,o,152942.19+350851.3,232.4258318203353,35.14758608779926
58221.580746,20.288,0.705,o,152942.19+350851.3,232.4258318203353,35.14758608779926
